Country,City,District,Neighborhood,Neighborhood_lookup,Subdivision,Lat,Lon,Year,Price/m2
Spain,Madrid,Puente de Vallecas,133 Palomeras Bajas,Palomeras Bajas,,,,2002,2100.0
Spain,Madrid,Puente de Vallecas,134 Palomeras Sureste,Palomeras Sureste,,,,2002,1960.0
Spain,Madrid,Puente de Vallecas,135 Portazgo,Portazgo,,,,2002,1595.0
Spain,Madrid,Puente de Vallecas,136 Numancia,Numancia,,,,2002,2242.0
Spain,Madrid,Moratalaz,141 Pavones,Pavones,,,,2002,2157.0
Spain,Madrid,Moratalaz,142 Horcajo,Horcajo,,,,2002,
Spain,Madrid,Moratalaz,143 Marroquina,Marroquina,,,,2002,2710.0
Spain,Madrid,Moratalaz,144 Media Legua,Media Legua,,,,2002,2563.0
Spain,Madrid,Moratalaz,145 Fontarrón,Fontarrón,,,,2002,2622.0
Spain,Madrid,Moratalaz,146 Vinateros,Vinateros,,,,2002,2332.0
Spain,Madrid,Ciudad Lineal,151 Ventas,Ventas,,,,2002,2557.0
Spain,Madrid,Ciudad Lineal,152 Pueblo Nuevo,Pueblo Nuevo,,,,2002,2476.0
Spain,Madrid,Ciudad Lineal,153 Quintana,Quintana,,,,2002,2488.0
Spain,Madrid,Ciudad Lineal,154 Concepción,Concepción,,,,2002,3451.0
Spain,Madrid,Ciudad Lineal,155 San Pascual,San Pascual,,,,2002,3115.0
Spain,Madrid,Ciudad Lineal,156 San Juan Bautista,San Juan Bautista,,,,2002,3583.0
Spain,Madrid,Ciudad Lineal,157 Colina,Colina,,,,2002,3545.0
Spain,Madrid,Ciudad Lineal,158 Atalaya,Atalaya,,,,2002,4062.0
Spain,Madrid,Ciudad Lineal,159 Costillares,Costillares,,,,2002,3429.0
Spain,Madrid,Hortaleza,161 Palomas,Palomas,,,,2002,2839.0
Spain,Madrid,Hortaleza,162 Piovera,Conde Orgaz-Piovera,,,,2002,3273.0
Spain,Madrid,Hortaleza,163 Canillas,Canillas,,,,2002,2584.0
Spain,Madrid,Hortaleza,164 Pinar del Rey,Pinar del Rey,,,,2002,2745.0
Spain,Madrid,Hortaleza,165 Apóstol Santiago,Apóstol Santiago,,,,2002,2622.0
Spain,Madrid,Hortaleza,166 Valdefuentes,Valdefuentes,PAU Sanchinarro,40.493694,-3.660339,2002,
Spain,Madrid,Hortaleza,166 Valdefuentes,Valdefuentes,Valdebebas – Valdefuentes,40.482496,-3.616277,2002,
Spain,Madrid,Hortaleza,166 Valdefuentes,Valdefuentes,Virgen del Cortijo – Manoteras,40.487688,-3.660896,2002,
Spain,Madrid,Hortaleza,166 Valdefuentes,Valdefuentes,El Encinar de los Reyes,40.507724,-3.644881,2002,
Spain,Madrid,Villaverde,171 San Andrés,San Andrés,,,,2002,1922.0
Spain,Madrid,Villaverde,172 San Cristóbal,San Cristóbal,,,,2002,1750.0
Spain,Madrid,Villaverde,173 Butarque,Butarque,,,,2002,1547.0
Spain,Madrid,Villaverde,174 Los Rosales,Los Rosales,,,,2002,2060.0
Spain,Madrid,Villaverde,175 Los Ángeles,Los Ángeles,,,,2002,1959.0
Spain,Madrid,Villa de Vallecas,181 Casco Histórico de Vallecas,Casco Histórico de Vallecas,,,,2002,2024.0
Spain,Madrid,Villa de Vallecas,181 Casco Histórico de Vallecas,Casco Histórico de Vallecas,Ensanche de Vallecas – Valdecarros,40.368166,-3.610482,2002,
Spain,Madrid,Villa de Vallecas,182 Santa Eugenia,Santa Eugenia,,,,2002,1916.0
Spain,Madrid,Vicálvaro,191 Casco Histórico de Vicálvaro,Casco Histórico de Vicálvaro,,,,2002,2160.0
Spain,Madrid,Vicálvaro,191 Casco Histórico de Vicálvaro,Casco Histórico de Vicálvaro,Valdebernardo – Valderribas,40.401672,-3.621428,2002,
Spain,Madrid,Vicálvaro,191 Casco Histórico de Vicálvaro,Casco Histórico de Vicálvaro,El Cañaveral - Los Berrocales,40.401441,-3.552554,2002,
Spain,Madrid,Vicálvaro,192 Ambroz,Ambroz,,,,2002,1958.0
Spain,Madrid,San Blas-Canillejas,201 Simancas,Simancas,,,,2002,2768.0
Spain,Madrid,San Blas-Canillejas,202 Hellín,Hellín,,,,2002,2306.0
Spain,Madrid,San Blas-Canillejas,203 Amposta,Amposta,,,,2002,1810.0
Spain,Madrid,San Blas-Canillejas,204 Arcos,Arcos,,,,2002,2189.0
Spain,Madrid,San Blas-Canillejas,205 Rosas,Rosas,,,,2002,2949.0
Spain,Madrid,San Blas-Canillejas,206 Rejas,Rejas,,,,2002,2251.0
Spain,Madrid,San Blas-Canillejas,207 Canillejas,Canillejas,,,,2002,2132.0
Spain,Madrid,San Blas-Canillejas,208 El Salvador,Salvador,,,,2002,2898.0
Spain,Madrid,Barajas,211 Alameda de Osuna,Alameda de Osuna,,,,2002,2559.0
Spain,Madrid,Barajas,212 Aeropuerto,Aeropuerto,,,,2002,
Spain,Madrid,Barajas,213 Casco Histórico de Barajas,Casco Histórico de Barajas,,,,2002,
Spain,Madrid,Barajas,214 Timón,Timón,,,,2002,3019.0
Spain,Madrid,Barajas,215 Corralejos,Campo de las Naciones-Corralejos,,,,2002,3054.0
Spain,Madrid,Centro,011 Palacio,Palacio,,,,2003,3605.0
Spain,Madrid,Centro,012 Embajadores,Lavapiés-Embajadores,,,,2003,3022.0
Spain,Madrid,Centro,013 Cortes,Huertas-Cortes,,,,2003,3683.0
Spain,Madrid,Centro,014 Justicia,Chueca-Justicia,,,,2003,3736.0
Spain,Madrid,Centro,015 Universidad,Malasaña-Universidad,,,,2003,3352.0
Spain,Madrid,Centro,016 Sol,Sol,,,,2003,3502.0
Spain,Madrid,Arganzuela,021 Imperial,Imperial,,,,2003,3591.0
Spain,Madrid,Arganzuela,022 Las Acacias,Acacias,,,,2003,3506.0
Spain,Madrid,Arganzuela,023 La Chopera,Chopera,,,,2003,3222.0
Spain,Madrid,Arganzuela,024 Legazpi,Legazpi,,,,2003,3320.0
Spain,Madrid,Arganzuela,025 Delicias,Delicias,,,,2003,3279.0
Spain,Madrid,Arganzuela,026 Palos de Moguer,Palos de Moguer,,,,2003,3297.0
Spain,Madrid,Arganzuela,027 Atocha,Atocha,,,,2003,
Spain,Madrid,Retiro,031 Pacífico,Pacífico,,,,2003,3774.0
Spain,Madrid,Retiro,032 Adelfas,Adelfas,,,,2003,3561.0
Spain,Madrid,Retiro,033 Estrella,Estrella,,,,2003,3280.0
Spain,Madrid,Retiro,034 Ibiza,Ibiza,,,,2003,4201.0
