Country,City,District,Neighborhood,Neighborhood_lookup,Subdivision,Lat,Lon,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Spain,Madrid,Puente de Vallecas,134 Palomeras Sureste,Palomeras Sureste,,,,1645,1960,2550,2735,3112,3367,3253,2807,2551,2464,2077,1764,1961,1686,1582,1450
Spain,Madrid,Puente de Vallecas,135 Portazgo,Portazgo,,,,1513,1595,2275,2645,3138,3293,3273,2770,2507,2133,1861,1603,1482,1245,1239,1316
Spain,Madrid,Puente de Vallecas,136 Numancia,Numancia,,,,1901,2242,2725,3040,3270,3490,3303,2942,2596,2413,1991,1751,1707,1406,1460,1503
Spain,Madrid,Moratalaz,141 Pavones,Pavones,,,,1914,2157,2575,2970,3098,3398,3290,,,,2208,,,,,
Spain,Madrid,Moratalaz,142 Horcajo,Horcajo,,,,,,3592,3359,,,,,,,,,,,,
Spain,Madrid,Moratalaz,143 Marroquina,Marroquina,,,,2187,2710,3293,3327,3506,3938,3745,3539,3250,,2774,2314,2398,2196,2187,2398
Spain,Madrid,Moratalaz,144 Media Legua,Media Legua,,,,1975,2563,2908,3295,3682,3613,3558,3131,3165,2852,2509,2150,2131,1882,1936,2133
Spain,Madrid,Moratalaz,145 Fontarrón,Fontarrón,,,,1904,2622,2670,2919,3133,3459,3315,2832,2539,2496,2143,1952,1613,1626,1641,1729
Spain,Madrid,Moratalaz,146 Vinateros,Vinateros,,,,1952,2332,2787,3065,3214,3506,3478,3010,2728,2676,2320,1910,,1848,1812,1952
Spain,Madrid,Ciudad Lineal,151 Ventas,Ventas,,,,1947,2557,3059,3162,3514,3712,3691,3226,2986,2780,2477,2176,2049,1729,1826,1929
Spain,Madrid,Ciudad Lineal,152 Pueblo Nuevo,Pueblo Nuevo,,,,2026,2476,2987,3117,3395,3568,3568,3114,2890,2692,2390,2037,2025,1731,1733,1839
